facility_id,facility_name,facility_other_names,facility_type,primary_commodity,commodities_products,facility_equipment,production_start,production_end,country
COM00811.00,Mikhailovsky GOK,MGOK,"Mine, Refinery",Iron,"Iron, Iron ore pellets, Iron ore concentrate, Sintering iron ore",Open pit,1960.0,,Russian Federation
COM00813.00,Mill Creek,,Mine,Coal,Coal,"Underground, Surface",1994.0,,United States of America
COM00815.00,Miller Creek Complex,,Mine,Coal,Coal,"Underground, Surface",2004.0,2016.0,United States of America
COM00821.00,Mine 84,Mine No. 84,Mine,Coal,Coal,Underground,1998.0,,United States of America
COM00824.00,Ministro Hales,División Ministro Hales,Mine,Copper,"Copper, Silver, Calcine",Open pit,2010.0,,Chile
COM00826.00,Minorca,,"Mine, Refinery",Iron,Iron,Open pit,1977.0,,United States of America
COM00827.00,Minto,,Mine,Copper,"Copper, Silver, Gold","Open Pit, Underground",2007.0,,Canada
COM00828.00,Moa Project,"Moa Nickel, Moa Joint Venture",Mine,Nickel,"Nickel, Cobalt","Surface, High-pressure acid leaching plant",1961.0,,Cuba
COM00830.00,Moatize,,Mine,Coal,"Coal, Metallurgical coal, Thermal coal",Open pit,2011.0,,Mozambique
COM00834.00,Mont Wright,"Mt Wright, Mont-Wright, Dofasco",Mine,Iron,Iron,Open pit,1976.0,,Canada
COM00840.00,Morenci,,Mine,Copper,"Copper, Molybdenum","Open pit, SX-EW",1939.0,,United States of America
COM00844.00,Morro da Mina,,Mine,Other (poly)-metallic,Manganese,Open pit,1902.0,,Brazil
COM00850.00,Mount Arthur,New South Wales Energy Coal,Mine,Coal,Thermal bituminous coal,Open pit,2002.0,,Australia
COM00852.00,Mount Goldsworthy,"Mt Goldsworthy, Mount Goldsworthy Joint Venture",Mine,Iron,Iron,Open pit,1966.0,,Australia
COM00853.00,Mount Keith,,Mine,Nickel,Nickel,Open pit,1995.0,,Australia
COM00854.00,Mount Marion,,Mine,Other (poly)-metallic,Lithium,,2016.0,,Australia
COM00855.00,Mount Monger,,Mine,Gold,Gold,"Open pit, Underground",2008.0,,Australia
COM00856.00,Mount Newman,"Mt Newman, Mt Newman joint venture, Newman",Mine,Iron,Iron,Open pit,1969.0,,Australia
COM00857.00,Mount Thorley Warkworth,,Mine,Coal,"Thermal coal, Soft coking coal, semi-soft coking coal",,1981.0,,Australia
COM00861.00,MRN Porto Trombetas,"Mineracao Rio do Norte, Trombetas",Mine,Aluminium,Bauxite,,1979.0,,Brazil
COM00862.00,Mt Cattlin,,Mine,Other (poly)-metallic,"Spodumene, Lithium",Open pit,2011.0,,Australia
COM00864.00,Mt Magnet,,Mine,Gold,Gold,"Underground, Open pit",2012.0,,Australia
COM00868.00,Muhlenberg,,Mine,Coal,Bituminous coal,Surface,2009.0,2018.0,United States of America
COM00870.00,Murowa,,Mine,Other mine,Diamonds,,2004.0,,Zimbabwe
COM00872.00,Murrin Murrin,,Mine,Nickel,"Nickel, Cobalt, Copper",Open pit,1999.0,,Australia
COM00875.00,Muswellbrook,,Mine,Coal,Thermal coal,"Underground, Open cut",2005.0,,Australia
COM00885.00,Narrabri,,Mine,Coal,Coal,Underground,2012.0,,Australia
COM00887.00,Navajo,,Mine,Coal,"Thermal bituminous coal, Sub-bituminous coal",Open pit,1963.0,,United States of America
COM00888.00,Neryungrinsky,,Mine,Coal,"Coking coal, Thermal coal",Open pit,1979.0,,Russian Federation
COM00890.00,New Clydesdale,"New Clydesdale Colliery, NCC",Mine,Coal,Thermal coal,"Open pit, Underground",2017.0,,South Africa
COM00892.00,New Lexington,Avondale,Mine,Coal,Bituminous coal,Surface,1993.0,,United States of America
COM00905.00,Noble,,Mine,Coal,Bituminous coal,Surface,2006.0,,United States of America
COM00906.00,Noche Buena,,Mine,Gold,"Gold, Silver","Open pit, Heap leach, Merrill-Crowe",2012.0,,Mexico
COM00923.00,Northshore,,Mine,Iron,"Iron, Direct Reduction Iron Pellets",Open pit,1990.0,,United States of America
COM00924.00,Norwich Park,,Mine,Coal,Metallurgical bituminous coal,Open pit,1979.0,2012.0,Australia
COM00926.00,Nueva Rosita Complex,,Mine,Coal,"Coal, Metallurgical coke, coke, tar, ammonium sulfate, light crude oil","Open pit, underground, coke facility, coal washing plant",1924.0,,Mexico
COM00929.00,Oak Grove,,Mine,Coal,Metallurgical coal,Underground,1972.0,,United States of America
COM00931.00,Obed Mountain,,Mine,Coal,Bituminous coal,,1984.0,2013.0,Canada
COM00936.00,Olcon,Olenegorsky,Mine,Iron,"Iron, Iron ore concentrate, Ferrite Strontium Powder","Open pit, Underground",1949.0,,Russian Federation
COM00937.00,Olympic Dam,,"Mine, Refinery, Smelter",Copper,"Copper, Coper Anodes, Copper cathodes, Uranium oxide, Gold, Silver","Underground, Flash Furnace, SX-EW, Grinding circuits",1988.0,,Australia
COM00938.00,Olzherassky,Olzherasskaya-Novaya,Mine,Coal,"Thermal coal, Coking coal","Underground, Open pit",2001.0,,Russian Federation
COM00942.00,Orcopampa,,Mine,Gold,"Gold, Silver, Copper","Underground, Carbon-in-leach plant",1967.0,,Peru
COM00952.00,Paintearth,,Mine,Coal,Sub-bituminous coal,Surface,1956.0,,Canada
COM00954.00,Palmarejo,,Mine,Silver,"Gold, Silver","Underground, Open pit",2009.0,,Mexico
COM00955.00,Pampa Norte,,Mine,Copper,"Copper, Copper cathode","Open pit, SX-EW",1994.0,,Chile
COM00960.00,Paragominas,,Mine,Aluminium,Bauxite,,2007.0,,Brazil
COM00965.00,Pattiki Complex,White County Coal,Mine,Coal,Coal,Underground,1980.0,2016.0,United States of America
COM00969.00,Peak Downs,,Mine,Coal,Metallurgical bituminous coal,Open pit,1972.0,,Australia
COM00970.00,Pena Colorada,,Mine,Iron,Iron,Open pit,1974.0,,Mexico
COM00971.00,Penasquito,,Mine,Gold,"Gold, Silver, Lead, Zinc",Open pit,2010.0,,Mexico
COM00973.00,Penjom,,Mine,Gold,Gold,Resin-In-Leach plant,1996.0,,Malaysia
COM00974.00,Pennsylvania Mining Complex,,Mine,Coal,"Bituminous coal, Metallurgical coal",Underground,1984.0,,United States of America
COM00977.00,Perkasa Inakakerta,"PIK, PT Perkasa Inakakerta",Mine,Coal,Sub-bituminous coal,Open pit,2007.0,,Indonesia
COM00980.00,Phil's Creek,,Mine,Iron,Iron,,2012.0,2015.0,Australia
COM00981.00,Phoenix,Phoenix Operation,Mine,Copper,"Gold, Copper, Copper cathode","Open pit, SX-EW, carbon-in-leach, copper leach pad",1964.0,,United States of America
COM00986.00,Pingguo,"Guangxi Plant, Pingguo Plant, Guangxi branch","Mine, Refinery, Smelter",Aluminium,"Bauxite, Alumina, Aluminium",Open pit,1994.0,,China
COM00989.00,Pinnacle Complex,,Mine,Coal,Metallurgical coal,Underground,1969.0,,United States of America
COM00990.00,Pinos Altos,,Mine,Gold,"Gold, Silver","Open pit, Underground",2009.0,,Mexico
COM00991.00,Pinto Valley,,Mine,Copper,"Copper, Copper cathode, Molybdenum, Silver, Gold",Open pit,1974.0,,United States of America
COM00993.00,Plainfield,,Mine,Coal,Bituminous coal,Surface,1990.0,,United States of America
COM00996.00,Pocos de Caldas,,"Mine, Refinery",Aluminium,"Bauxite, Alumina",Open pit,1965.0,,Brazil
COM00999.00,Poitrel,,Mine,Coal,Metallurgical bituminous coal,Open pit,2006.0,,Australia
COM01000.00,Polkowice-Sieroszowice,,Mine,Copper,"Copper, Silver, Lead, Gold",Underground,1996.0,,Poland
COM01005.00,Poplar River,,Mine,Coal,Lignite,Surface,1978.0,,Canada
COM01006.00,Poracota,,Mine,Gold,"Gold, Silver",Underground,2007.0,,Peru
COM01010.00,POSMAC,POSMAC Joint Venture,Mine,Other mine,Iron,Open pit,2003.0,,Australia
COM01012.00,Prijedor,"Omarska, Buvac, Jezero, Mamuze",Mine,Iron,Iron,Open pit,1916.0,,Bosnia and Herzegovina
COM01015.00,Prominent Hill,,Mine,Copper,"Copper, Gold, Silver","Underground, Open pit",2009.0,,Australia
COM01016.00,PT Adaro Indonesia,AI,Mine,Coal,Sub-bituminous coal,Open pit,1992.0,,Indonesia
COM01017.00,PT Adimitra Baratama Nusantara,ABN,Mine,Coal,Thermal coal,Open pit,2008.0,,Indonesia
COM01019.00,PT Antang Gunung Meratus,AGM,Mine,Coal,Coal,Open pit,1999.0,,Indonesia
COM01021.00,PT Baramulti Suksessarana Tbk,BSSR,Mine,Coal,Coal,Open pit,2010.0,,Indonesia
COM01025.00,PT Bharinto Ekatama,"BEK, Bharinto",Mine,Coal,Coal,,2012.0,,Indonesia
COM01031.00,PT Indomining,IM,Mine,Coal,Thermal coal,Open pit,2007.0,,Indonesia
COM01033.00,PT Internasional Prima Coal,IPC,Mine,Coal,Coal,Open pit,2009.0,,Indonesia
COM01037.00,PT Karya Usaha Pertiwi,KUP,Mine,Coal,Thermal coal,Open pit,2018.0,,Indonesia
COM01039.00,PT Mahakam Sumber Jaya,MSJ,Mine,Coal,Thermal coal,Open pit,2004.0,,Indonesia
COM01040.00,PT Mitrabara Adiperdana Tbk,,Mine,Coal,Coal,,2008.0,,Indonesia
COM01041.00,PT Multi Tambangjaya Utama,MUTO,Mine,Coal,"Bituminous thermal coal, Bituminous coking coal",Open pit,2016.0,,Indonesia
COM01045.00,PT Triaryani,TRA,Mine,Coal,Coal,Open pit,2014.0,,Indonesia
COM01046.00,PT Trisensa Mineral Utama,TMU,Mine,Coal,Thermal coal,Open pit,2011.0,,Indonesia
COM01052.00,Pueblo Viejo,,Mine,Gold,Gold,Open Pit,2013.0,,Dominican Republic
COM01060.00,Quiruvilca,,Mine,Silver,"Silver, Gold, Zinc, Lead, Copper",Underground,1940.0,,Peru
COM01061.00,Rajpura Dariba,,Mine,Zinc,"Lead, Zinc",Underground,1983.0,,India
COM01065.00,Raven,"Slones Branch, Lige Hollow",Mine,Coal,Coal,Underground,2006.0,,United States of America
COM01072.00,Red Dog,,Mine,Zinc,"Zinc, Lead",Open pit,1989.0,,United States of America
COM01073.00,Red Hills,Mississippi Lignite Mining Company,Mine,Coal,Lignite,Surface,2000.0,,United States of America
COM01077.00,Reefton,,Mine,Gold,Gold,Open pit,2007.0,2016.0,New Zealand
COM01080.00,Rend Lake,,Mine,Coal,Coal,Underground,1986.0,,United States of America
COM01088.00,River View Complex,River View Coal,Mine,Coal,Coal,Underground,2009.0,,United States of America
COM01092.00,Robinson Run,,Mine,Coal,"Thermal coal, Metallurgical coal",Underground,1966.0,,United States of America
COM01097.00,Rosebery,,Mine,Zinc,"Zinc, Lead, Copper, Gold, Silver",Underground,1936.0,,Australia
COM01100.00,Rössing,,Mine,Other (poly)-metallic,Uranium,Open pit,1976.0,,Namibia
COM01102.00,Ruashi,,Mine,Copper,"Copper, Cobalt, Copper cathode, Cobalt hydroxide","Open cast, SX-EW plant",2007.0,,DR Congo
COM01104.00,Rudna,,Mine,Copper,"Copper, Silver, Lead, Gold",Underground,1974.0,,Poland
COM01107.00,Safford,,Mine,Copper,Copper,"Open pit, SX-EW",2007.0,,United States of America
COM01112.00,Salobo,,Mine,Copper,"Copper, Gold",Open pit,2012.0,,Brazil
COM01113.00,Salvador,División Salvador,Mine,Copper,"Copper, Copper cathodes, Molybdenum, Gold, Silver","Open pit, Underground",1959.0,,Chile
COM01114.00,Samarco,,Mine,Iron,Iron,Open pit,1977.0,,Brazil
COM01117.00,San Bartolome,,Mine,Silver,Silver,Open pit,2008.0,,Bolivia
COM01120.00,San Jose,,Mine,Iron,Iron,Open pit,1946.0,,Mexico
COM01121.00,San Juan,,Mine,Coal,Sub-bituminous coal,,1973.0,,United States of America
COM01123.00,San Julian,,Mine,Silver,"Silver, Gold, Lead, Zinc",Underground,2016.0,,Mexico
COM01127.00,San Miguel,,Mine,Coal,Lignite,Surface,1980.0,,United States of America
COM01134.00,Saraji,,Mine,Coal,Metallurgical bituminous coal,Open pit,1974.0,,Australia
COM01138.00,Saucito,,Mine,Silver,"Silver, Gold, Lead, Zinc",Underground,2011.0,,Mexico
COM01139.00,Savage,Knive River Mine,Mine,Coal,Lignite,,1958.0,,United States of America
COM01143.00,Seabee,,Mine,Gold,Gold,,1991.0,,Canada
COM01147.00,Selian,,Mine,Coal,Coal,Underground,2013.0,,China
COM01152.00,Serra Azul,,Mine,Iron,Iron,Open pit,1946.0,,Brazil
COM01158.00,Seruyung,,Mine,Gold,Gold,Heap leaching plant,2014.0,,Indonesia
COM01173.00,Sheerness,,Mine,Coal,Sub-bituminous coal,Surface,1984.0,,Canada
COM01181.00,Shoemaker,,Mine,Coal,Coal,Underground,1966.0,,United States of America
COM01183.00,Shuguang,"Jilin Hunchun Shuguang, Jilin Hunchun Zijin Mining Co, Hunchun Zijin, Hunchun",Mine,Gold,"Gold, Copper","Open Pit, Underground",2003.0,,China
COM01187.00,Sibirginsky,Sibirginskaya,Mine,Coal,"Coking coal, Thermal coal","Open pit, Underground",1970.0,,Russian Federation
COM01188.00,Sierra Gorda,,Mine,Copper,"Copper, Molybdenum, Gold",Open pit,2015.0,,Chile
COM01190.00,Sierrita,,Mine,Copper,"Copper, Molybdenum","Open pit, SX-EW",1959.0,,United States of America
COM01195.00,Simberi,,Mine,Gold,Gold,Open pit,2008.0,,Papua New Guinea
COM01198.00,Sino Iron,,Mine,Iron,Iron ore,Open pit,2013.0,,Australia
COM01200.00,Sissingue,,Mine,Gold,Gold,"Open pit, Carbon in Leach plant",2018.0,,Cote d'Ivoire
COM01201.00,Skorpion,,"Mine, Refinery",Zinc,"Zinc, Zinc ingots",Open pit,2003.0,,Namibia
COM01209.00,Sossego,,Mine,Copper,"Copper, Gold",Open pit,2004.0,,Brazil
COM01211.00,South Hallsville No. 1,The Sabine Mining Company,Mine,Coal,Lignite,Surface,1985.0,,United States of America
COM01214.00,South Walker Creek,,Mine,Coal,Metallurgical bituminous coal,Open pit,1996.0,,Australia
COM01226.00,Stepnoy,,Mine,Coal,Coal,,1993.0,,Russian Federation
COM01253.00,Taldybulak Levoberezhny,"Altynken, Altynken LLC",Mine,Gold,Gold,Underground,2006.0,,Kyrgyzstan
COM01254.00,Tallering Peak,,Mine,Iron,Iron ore,,2003.0,2015.0,Australia
COM01255.00,Tambomayo,,Mine,Gold,"Gold, Silver, Lead, Zinc",Underground,2016.0,,Peru
COM01256.00,Tanami,,Mine,Gold,Gold,Underground,1983.0,,Australia
COM01258.00,Tantahuatay,Coimolache,Mine,Gold,"Gold, Silver",Open Pit,2011.0,,Peru
COM01264.00,Tashan,,Mine,Coal,Coal,Underground,2006.0,,China
COM01268.00,Tayan,,"Mine, Refinery",Aluminium,"Bauxite, Chemical grade Alumina, Aluminium hydroxide","Bayer process plant, Open pit",2009.0,,Indonesia
COM01269.00,Teguh Sinarabadi and Firman Ketaun Perkasa,"TSA, PT Teguh Sinarabadi, FKP, PT Firman Ketaun Perkasa, TSA/FKP",Mine,Coal,Bituminous coal,Open pit,2007.0,,Indonesia
COM01273.00,Tenke Fungurume,"TFM, Tenke",Mine,Copper,"Copper, Cobalt",Open pit,2009.0,,DR Congo
COM01278.00,Thunderbox,TBO,Mine,Gold,Gold,,2016.0,,Australia
COM01280.00,Tianchi,Shanxi Nenghua,Mine,Coal,Thermal coal,Underground,2006.0,,China
COM01281.00,Tiandeng,,"Mine, Refinery",Other (poly)-metallic,"Manganese, Electrolytic manganese metal",Open pit,1956.0,,China
COM01282.00,Tilden,,Mine,Iron,"Iron, Iron ore pellets",Open pit,1974.0,,United States of America
COM01284.00,Timmins West & Bell Creek,,Mine,Gold,Gold,Underground,2011.0,,Canada
COM01288.00,Tomusinsky,,Mine,Coal,"Coking coal, Thermal coal",Open pit,1959.0,,Russian Federation
COM01290.00,Toquepala,,Mine,Copper,"Copper, Molybdenum, Copper Cathode, Silver","Open pit, SX-EW plant",1960.0,,Peru
COM01292.00,Touquoy,Atlantic Gold operation,Mine,Gold,Gold,"Open pit, Carbon in Leach circuit",2017.0,,Canada
COM01295.00,Tritton,Tritton Copper Operations,Mine,Copper,"Copper, Gold, Silver",Underground,2004.0,,Australia
COM01299.00,Tuhup,PT Asmin Koalindo Tuhup,Mine,Coal,Metallurgical coal,,2009.0,,Indonesia
COM01300.00,Tujuh Bukit,,Mine,Gold,"Gold, Copper","Open pit, leaching plant",2017.0,,Indonesia
COM01302.00,Tunnel Ridge Complex,,Mine,Coal,Coal,Underground,2010.0,,United States of America
COM01303.00,Tuscarawas,"East Canton, Garrett, Schupp, Hunt",Mine,Coal,Bituminous coal,Surface,2003.0,,United States of America
COM01304.00,Tusky,,Mine,Other mine,Bituminous coal,Surface,2003.0,,United States of America
COM01310.00,Two Rivers,,Mine,Other (poly)-metallic,"Platinum, Palladium, Rhodium, Ruthenium, Iridium, Gold, Nickel, Copper, Chrome",Underground,2007.0,,South Africa
COM01311.00,Tyrone,,Mine,Copper,Copper,"Open pit, SX-EW",1967.0,,United States of America
COM01313.00,Ubuntu,,Mine,Coal,Thermal coal,,2020.0,,South Africa
COM01314.00,Uchucchacua,,Mine,Silver,"Silver, Lead, Zinc, Manganese",Underground,1975.0,,Peru
COM01319.00,United Taconite,,Mine,Iron,"Iron, Iron ore pellets",Open pit,1965.0,,United States of America
COM01324.00,V.I. Lenina,,Mine,Coal,Coking coal,Underground,1953.0,,Russian Federation
COM01342.00,Vorkutaugol,OAO Vorkutaugol,Mine,Coal,"Hard coking coal, Semi-soft coking coal, Thermal coal, Coking coal concentrate","Open pit, Underground",1933.0,,Russian Federation
COM01343.00,VP-8,VP 8,Mine,Coal,Coal,Underground,1993.0,,United States of America
COM01345.00,Wabush,Wabush Scully,Mine,Iron,"Iron, Iron ore pellets",Open pit,1965.0,2014.0,Canada
COM01348.00,Wahana Baratama,"WBM, PT Wahana Baratama Mining",Mine,Coal,Bituminous coal,Open pit,2007.0,,Indonesia
COM01350.00,Waihi,,Mine,Gold,Gold,"Open Pit, Underground",1988.0,,New Zealand
COM01353.00,Warrior Complex,Warrior Coal,Mine,Coal,Coal,Underground,1985.0,,United States of America
COM01358.00,Wenyu,Inner Mongolia Xintai,Mine,Coal,Thermal coal,Underground,1997.0,,China
COM01359.00,Werris Creek,,Mine,Coal,Coal,Open cut,2005.0,,Australia
COM01364.00,Western Range Project,"ArcelorMittal Liberia, AMLH",Mine,Iron,Iron,Open pit,2011.0,,Liberia
COM01365.00,Westside,,Mine,Coal,Thermal coal,Open pit,1992.0,2012.0,Australia
COM01366.00,Wetar,Wetar/Morowali,Mine,Copper,Copper,"Open pit, SX-EW plant",2010.0,,Indonesia
COM01368.00,Whim Creek,,Mine,Copper,Copper,"Open pit, SX-EW",2005.0,,Australia
COM01369.00,Whitewood,,Mine,Coal,Thermal coal,,1956.0,2010.0,Canada
COM01373.00,Wilpinjong,,Mine,Coal,Thermal coal,Surface,2006.0,,Australia
COM01374.00,Wiluna,,Mine,Gold,Gold,"Open pit, Underground",2016.0,,Australia
COM01384.00,Xinjiang Jinbao,"Xinjiang Jinbao Mining Company Limited, Xinjiang Jinbao Mengku Iron Mine, Xinjiang Mengku Iron Mine",Mine,Iron,Iron ore,,2004.0,,China
COM01387.00,Yakovlevskiy,"Yakovlevsky GOK, Yakovlev",Mine,Iron,Iron,,1997.0,,Russian Federation
COM01388.00,Yanacocha,,Mine,Gold,"Gold, Silver","Open pit, Underground",1993.0,,Peru
COM01390.00,Yandi,Yandi Joint venture,Mine,Iron,Iron,Open pit,1992.0,,Australia
COM01391.00,Yangcun,,Mine,Coal,Thermal coal,Underground,1988.0,,China
COM01399.00,Yauricocha,,Mine,Zinc,"Silver, Gold, Zinc, Lead, Copper",Underground,1948.0,,Peru
COM01415.00,Zarechnaya,North-Polysaevskaya,Mine,Coal,Coal,Underground,1953.0,,Russian Federation
COM01418.00,Zeravshan,"JV Zeravshan LLC, ZGC",Mine,Gold,Gold,"Open Pit, Underground",2007.0,,Tajikistan
COM01419.00,Zhaolou,"Heze Nenghua, Heze Neng Hua Company Ltd.",Mine,Coal,Coking coal,Underground,2009.0,,China
COM01430.00,Zijinshan,Fujian Zijinshan,Mine,Gold,"Gold, Copper, Copper cathodes, Silver",Open Pit,1980.0,,China
COM01432.00,Zinkgruvan,,Mine,Zinc,"Lead, Silver, Copper, Zinc",,1857.0,,Sweden
COM00007.03,AGA Mineracao,,Mine,Gold,Gold,"Open pit, Underground",1989.0,,Brazil
COM00007.04,AGA Mineracao,,Mine,Gold,Gold,"Open pit, Underground",1989.0,,Brazil
COM00055.01,Anyuan,,Mine,Coal,Thermal coal,,2004.0,,China
COM00055.02,Anyuan,,Mine,Coal,Thermal coal,,2016.0,,China
COM00086.01,Bakan,,Mine,Gold,Gold,Heap leaching plant,2013.0,,Indonesia
COM00086.02,Bakan,,Mine,Gold,Gold,Heap leaching plant,2004.0,,Indonesia
COM00125.01,Berezovskaya,,Mine,Coal,Metallurgical coal,,1975.0,,Russian Federation
